 ,Area,X,Y,BX,BY,Width,Height,Circ.,Feret,FeretX,FeretY,FeretAngle,MinFeret,AR,Round,Solidity
223,36,5104.000,4039.361,5100,4036,8,6,0.799,8.944,5100,4037,153.435,6.000,1.358,0.736,0.837
224,35,1469.871,4047.671,1466,4044,8,7,0.435,10.000,1466,4050,36.870,6.708,1.559,0.642,0.769
225,55,2418.100,4053.336,2413,4049,10,8,0.749,10.198,2413,4052,168.690,8.000,1.137,0.880,0.833
226,8,1243.375,4069.875,1242,4068,3,4,0.914,5.000,1242,4068,126.870,3.000,1.791,0.558,0.800
227,34,2025.706,4079.559,2021,4075,10,8,0.314,11.314,2022,4083,45.000,7.495,1.653,0.605,0.544
228,19,1522.026,4078.711,1518,4077,8,4,0.681,8.246,1518,4077,165.964,4.000,2.163,0.462,0.809
229,21,1539.881,4084.310,1535,4082,8,5,0.568,8.602,1535,4082,144.462,5.000,1.451,0.689,0.689
230,8,1170.000,4088.000,1168,4087,4,2,1.000,4.472,1168,4087,153.435,2.000,2.000,0.500,1.000
231,10,2414.500,4105.300,2413,4103,3,4,1.000,4.472,2414,4103,116.565,3.000,1.236,0.809,0.909
232,4,1517.000,4117.500,1516,4116,2,3,0.857,3.606,1516,4116,123.690,2.000,2.031,0.492,0.800
233,20,2710.800,4126.600,2706,4123,8,7,0.502,10.630,2706,4130,41.186,3.536,3.711,0.269,0.690
234,4,3836.000,4130.000,3835,4129,2,2,1.000,2.828,3835,4129,135.000,2.000,1.000,1.000,1.000
235,9,5410.833,4180.611,5409,4179,4,3,1.000,4.472,5409,4182,26.565,3.000,1.340,0.746,0.857
236,13,4547.038,4183.731,4544,4182,6,3,0.846,6.325,4544,4183,161.565,3.000,2.231,0.448,0.839
237,8,1133.375,4227.375,1132,4226,3,3,1.000,4.243,1132,4229,45.000,3.000,1.229,0.814,0.941
238,21,1589.024,4232.786,1586,4230,7,5,0.752,8.062,1586,4235,29.745,4.950,1.749,0.572,0.792
239,19,4591.763,4244.447,4589,4242,6,5,0.987,6.325,4589,4243,161.565,4.919,1.303,0.768,0.826
240,19,2164.289,4255.447,2162,4253,5,5,0.944,7.071,2162,4258,45.000,4.919,1.571,0.637,0.884
241,19,2155.289,4261.395,2154,4258,3,8,0.656,8.544,2154,4266,69.444,3.000,2.802,0.357,0.905
242,19,5040.342,4265.237,5038,4263,5,5,1.000,6.403,5038,4267,38.660,4.919,1.336,0.749,0.884
243,47,5271.713,4278.500,5268,4274,8,8,0.993,8.944,5268,4276,153.435,8.000,1.052,0.951,0.887
244,4,6453.250,4288.750,6452,4288,3,2,1.000,3.606,6452,4290,33.690,2.000,2.000,0.500,0.800
245,16,3370.000,4290.625,3367,4289,6,4,0.857,6.325,3367,4289,161.565,4.000,1.472,0.679,0.800
246,6,5135.500,4296.000,5134,4295,3,2,1.000,3.606,5134,4295,146.310,2.000,1.500,0.667,1.000
247,7,3402.500,4299.500,3401,4298,3,3,1.000,4.243,3401,4298,135.000,2.828,1.596,0.626,0.875
248,11,5592.591,4305.955,5590,4304,5,4,0.853,5.385,5590,4305,158.199,3.795,1.530,0.654,0.710
249,34,5970.971,4309.471,5967,4306,8,7,0.603,8.602,5968,4312,35.538,6.791,1.208,0.828,0.773
250,5,5270.700,4308.100,5269,4307,3,2,1.000,3.606,5269,4309,33.690,2.000,1.553,0.644,0.909
251,11,5207.773,4313.409,5205,4312,5,3,0.887,5.831,5205,4312,149.036,3.000,1.892,0.528,0.880
252,23,3424.413,4317.587,3421,4315,6,5,0.964,7.071,3422,4320,45.000,5.000,1.293,0.773,0.885
253,29,1775.224,4321.259,1772,4316,8,9,0.427,10.296,1774,4316,119.055,5.929,2.263,0.442,0.611
254,22,5652.773,4329.182,5650,4327,6,5,0.788,6.708,5650,4327,153.435,5.000,1.209,0.827,0.830
255,11,6088.864,4337.409,6087,4336,4,3,1.000,5.000,6087,4339,36.870,3.000,1.372,0.729,0.957
256,46,1540.000,4352.152,1530,4347,20,9,0.257,21.932,1530,4356,24.228,3.780,8.209,0.122,0.643
257,19,5275.658,4363.026,5273,4361,6,4,1.000,6.708,5273,4361,153.435,4.000,1.499,0.667,0.905
258,44,4681.114,4397.773,4677,4394,9,7,0.887,9.487,4677,4400,18.435,7.000,1.227,0.815,0.854
259,37,5193.662,4410.095,5190,4407,7,7,0.948,7.810,5191,4407,129.806,7.000,1.037,0.964,0.881
260,19,6090.184,4410.553,6087,4408,6,5,0.916,6.708,6087,4412,26.565,4.919,1.538,0.650,0.792
261,11,6144.591,4418.136,6143,4416,3,4,1.000,5.000,6143,4420,53.130,3.000,1.372,0.729,0.957
262,1173,4538.945,4461.018,4520,4439,39,44,0.797,49.820,4523,4481,51.520,31.800,1.611,0.621,0.951
263,9,1299.389,4445.389,1298,4443,3,5,0.726,5.385,1299,4448,68.199,3.000,1.794,0.558,0.750
264,10,3948.300,4479.800,3946,4478,5,3,0.887,5.385,3946,4481,21.801,3.000,1.866,0.536,0.800
265,27,5258.944,4481.611,5256,4479,6,6,0.910,7.810,5256,4484,39.806,5.814,1.372,0.729,0.871
266,105,5243.786,4492.557,5238,4486,12,13,0.837,13.038,5243,4486,94.399,12.000,1.023,0.978,0.868
267,20,5203.550,4496.950,5201,4494,5,6,0.965,6.403,5202,4500,51.340,5.000,1.159,0.863,0.816
268,4,5192.250,4510.250,5191,4509,3,2,0.857,3.606,5191,4509,146.310,2.000,2.000,0.500,0.800
269,47,6330.819,4527.436,6327,4524,8,7,0.966,9.220,6327,4530,40.601,7.000,1.198,0.835,0.922
270,37,5421.446,4536.635,5418,4533,7,7,1.000,8.062,5418,4539,29.745,7.000,1.104,0.906,0.892
271,19,1474.658,4540.500,1472,4537,6,6,0.681,7.810,1472,4542,39.806,5.199,1.519,0.658,0.731
272,21,1541.881,4575.690,1538,4573,7,5,0.752,8.062,1538,4577,29.745,4.025,2.182,0.458,0.824
273,37,911.068,4583.365,906,4578,10,10,0.515,14.142,906,4588,45.000,4.664,4.028,0.248,0.718
274,244,2363.799,4589.139,2348,4580,25,18,0.506,25.962,2348,4591,164.358,16.815,1.347,0.743,0.792
